,Name,Genre,Year,Imdb Rating,Director,Votes,Gross,malesRating,malesCount,femalesRating,femalesCount
250,The Lord of the Rings: The Return of the King,Adventure,2003,9.0,Peter Jackson,1786873,377.85,9.0,1030142,8.9,218645
251,Inception,Adventure,2010,8.8,Christopher Nolan,2283048,292.58,8.8,1263370,8.7,294019
252,The Lord of the Rings: The Two Towers,Adventure,2002,8.8,Peter Jackson,1613775,342.55,8.8,925102,8.7,202157
253,The Lord of the Rings: The Fellowship of the Ring,Adventure,2001,8.8,Peter Jackson,1807955,315.54,8.8,1025725,8.8,229860
254,"Il buono, il brutto, il cattivo",Adventure,1966,8.8,Sergio Leone,746126,6.1,8.9,491780,8.4,49083
255,The Empire Strikes Back,Adventure,1980,8.7,Irvin Kershner,1259307,290.48,8.8,750630,8.5,115013
256,Interstellar,Adventure,2014,8.6,Christopher Nolan,1744411,188.02,8.6,917457,8.4,180215
257,Sen to Chihiro no kamikakushi,Adventure,2001,8.6,Hayao Miyazaki,737562,10.06,8.5,374466,8.7,122868
258,Star Wars,Adventure,1977,8.6,George Lucas,1331451,322.74,8.6,787904,8.4,129361
259,Gladiator,Adventure,2000,8.5,Ridley Scott,1461763,187.71,8.6,871724,8.3,154493
260,The Lion King,Adventure,1994,8.5,Roger Allers,1030658,422.78,8.4,537982,8.8,176119
261,Back to the Future,Adventure,1985,8.5,Robert Zemeckis,1168120,210.61,8.6,666016,8.4,134633
262,Spider-Man: Into the Spider-Verse,Adventure,2018,8.4,Bob Persichetti,497553,190.24,8.3,240928,8.5,37070
263,Avengers: Endgame,Adventure,2019,8.4,Anthony Russo,1066486,858.37,8.3,478002,8.5,86651
264,Avengers: Infinity War,Adventure,2018,8.4,Anthony Russo,1026192,678.82,8.4,501594,8.4,88533
265,Coco,Adventure,2017,8.4,Lee Unkrich,482539,209.73,8.3,220385,8.6,68637
